date,name,code,daily_return,ytd_return,inception_return,unit_nav,accum_nav
2026-06-03,博道中证全指指数增强A,025020,,,,
2026-06-03,博道上证科创板综合指数增强A,023901,,,,
2026-06-03,博道中证A500指数增强A,022745,,,,
2026-06-03,博道沪深300指数量化增强A,022866,,,,
2026-06-03,博道中证800指数增强A,023499,,,,
2026-06-03,博道大盘价值股票A,021915,,,,
2026-06-03,博道大盘成长股票A,022003,,,,
2026-06-03,博道中证500增强A,006593,,,,
2026-06-03,博道中证500增强Y,025038,,,,
2026-06-03,博道沪深300增强A,007044,,,,
2026-06-03,博道沪深300增强Y,025932,,,,
2026-06-03,博道叁佰智航A,007470,,,,
2026-06-03,博道伍佰智航A,007831,,,,
2026-06-03,博道消费智航A,010998,,,,
2026-06-03,博道成长智航股票A,013641,,,,
2026-06-03,博道中证1000指数增强A,017644,,,,
2026-06-03,博道红利智航股票A,019124,,,,
2026-06-03,博道衍晟混合A,026351,,,,
2026-06-03,博道星航混合,026791,,,,
2026-06-03,博道久航混合A,008318,,,,
2026-06-03,博道中证同业存单AAA指数7天持有期,019037,,,,
2026-06-03,博道安远6个月持有期,008547,,,,
2026-06-03,博道盛兴一年持有期混合,013693,,,,
2026-06-03,博道嘉泰回报混合,008208,,,,
2026-06-03,博道启航混合A,006160,,,,
2026-06-03,博道卓远混合A,006511,,,,
2026-06-03,博道睿见一年持有期混合,010755,,,,
2026-06-03,博道远航混合A,007126,,,,
2026-06-03,博道志远混合A,007825,,,,
2026-06-03,博道嘉瑞混合A,008467,,,,
2026-06-03,博道盛利6个月持有期混合,010404,,,,
2026-06-03,博道嘉元混合A,008793,,,,
2026-06-03,博道嘉兴一年持有期混合,010147,,,,
2026-06-03,博道嘉丰混合A,010967,,,,
2026-06-03,博道盛彦混合A,012124,,,,
2026-06-03,博道研究恒选混合A,015104,,,,
2026-06-03,博道和瑞多元稳健6个月持有期混合A,016637,,,,
2026-06-03,博道惠泰优选混合A,016840,,,,
2026-06-03,博道明远混合A,019497,,,,
2026-06-03,博道惠泓价值成长混合,025103,,,,
2026-06-03,博道盛享品质成长混合,025874,,,,
2026-06-03,博道衍和债券A,027004,,,,
2026-06-03,博道和盈利率债A,023356,,,,
2026-06-03,博道和祥多元稳健债券A,017134,,,,
2026-06-03,博道和裕多元稳健30天持有期债券A,021323,,,,
